Timestamp,Your Gender,Your Sexual Orientation,Your age,What country are You from?,How often do You play computer games,And for how long do Your gaming sessions usually last,Your favourite video game genre,Your favourite game(May write several),What other interests do You hold(You can choose multiple and write any others in Other),Your overall view on seeing sexual themes in the game(What is you reaction on seeing sexual themes in a game),Your view on sexualisation of the character design(Your reaction on seeing (overly)sexual character design),Any specific things that you usually LIKE in character designs,Any specific things that you usually DISLIKE in character designs,Your view on sexual sub-context in video games- themes around sex and similar,"If you dislike the (over)use of sexual sub-content, would you be okay if it's explained logically, tied to the story(And-Or if it exists for more reasons than just for marketing and-or similar)",Are you okay with LGBT+ characters in video games,Anything to add to the theme? Your personal thoughts. 
05/01/2021 03:55:47,Male,Heterosexual,21-26,USA,Several times a week,0-4 hours,Singleplayer RPGs,"Bastion & Hades (Supergiant), Halo Series, Mass Effect 2","Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga",Sometimes positive,4,,,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 03:58:25,Male,Bisexual,21-26,USA,Every day,0-4 hours,Strategy,"Heart of Iron 4, Civilization 5","Films and TV series, Anime, Manga",Mostly positive,5,,,5,,"Yes, in any way they appear there",
05/01/2021 04:01:42,Female,Heterosexual,21-26,USA,Several times a week,0-4 hours,Adventure,"Overwatch, Assassins Creed, Oblivion, Apex Legends","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Crafts",Sometimes negative,5,,,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 04:01:48,Trans Female,Asexual,16-20,United States,Once- or twice a week,5-8 hours,Strategy,"Starsector, One Step From Eden, XCOM 2, Fellseal Arbiters Mark","Books(Non asian), Tabletop RPGs(D&D and similar), Anime, Japanese(Or similar) Light Novels",Neutral,4,Complete Customization ,"Limited Options, Default Palettes",3,Yes,"Yes, in any way they appear there",I’m generally not opposed as long as there is representation of multiple views (optional LGBTQ+) and ample warning before buying.
05/01/2021 04:02:56,Male,Heterosexual,21-26,United States,Every day,5-8 hours,Action,Portal 2,"Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,4,rough looking instead of perfect,overly simplistic,4,Yes,"Yes, in any way they appear there",
05/01/2021 04:24:49,Female,Bisexual,21-26,USA,Several times a week,0-4 hours,Singleplayer RPGs,Drakengaurd 3,"Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Sometimes negative,3,,,5,Yes,"Yes, in any way they appear there",
05/01/2021 04:43:35,Prefer not to say,Asexual,16-20,Austria,Several times a week,5-8 hours,Strategy,"Ck3, Ck2, Hoi4, Cities skylines, Stellaris","Tabletop RPGs(D&D and similar), Films and TV series",Sometimes negative,2,,Seeing a lot of skin,5,Yes,"Yes, in any way they appear there",
05/01/2021 04:51:09,Female,Bisexual,21-26,USA,Maybe once or twice a month,5-8 hours,Strategy,"We Happy Few, Until Dawn, The Wolf Among Us","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Acting, music",Neutral,1,"Reasonable outfits for what the character has to do, realistic looking characters","Characters wearing the bare minimum of clothing at all times, characters with unrealistic proportions (overly muscled, gigantic chest, breasts, hips)",4,Yes,"Yes, in any way they appear there",
05/01/2021 05:18:06,Male,Heterosexual,16-20,USA,Once- or twice a week,0-4 hours,Action,"Skyrim, rdr2, fallout 4, uncharted series","Books(Non asian), Films and TV series",Neutral,2,Strong personality traits,,4,Yes,"Yes, in any way they appear there",
05/01/2021 05:24:26,Male,Prefer not to say,21-26,Malaysia ,Every day,0-4 hours,Singleplayer RPGs,"Genshin impact, azur lane, persona 3&4, WOT, WT,  WOW","Anime, Manga",Sometimes positive,5,How well they design without being overwhelmed ,"Unrealistic character for human char, non human are different depend on race. ",6,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 05:27:19,Male,Heterosexual,16-20,USA,Every day,0-4 hours,"I like all of the above and have trouble picking one as my favorite, although simulators usually don't hold my interest","Zelda games, games I can play with my friends","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels, Drawing/Digital art",Mostly positive,5,,,6,Maybe,Maybe/Neutral,
05/01/2021 05:51:42,Agender,Pansexual,21-26,US,Every day,0-4 hours,Multiplayer RPGs,"Final Fantasy XIV, Minecraft, Divinity Original Sin","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,4,,,6,Yes,"Yes, in any way they appear there","I would quite enjoy neopronouns being used on occasion, since people do use them"
05/01/2021 06:22:18,Male,Heterosexual,16-20,USA,Several times a week,0-4 hours,Singleplayer RPGs,Xenoblade Chronicles Definitive Edition. Trails in the Sky SC. Persona 3.,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Music, tennis",Sometimes negative,2,"Longcoats, good color palettes, unique character designs (not generic brown haired white guy)","generic stuff, oversexualized women, very unpractical designs",5,Yes,"Yes, in any way they appear there",
05/01/2021 06:30:02,Female,Heterosexual,27-35,USA,Every day,0-4 hours,Multiplayer RPGs,World of Warcraft,"Books(Non asian), Films and TV series",Neutral,4,Outfits that are aesthetically pleasing and may be sexualized without being lewd,When you can see nipples through outfits or armor,4,Yes,"I am hesitant to put any of these answers because on the one hand, I'm fine with having LGBT+ characters and stories in the game when they are appropriate, but when 70% of the in-game population is gay (compared to like 3-4% in reality) it is very immersion-breaking. They should be more realistic.",
05/01/2021 06:48:01,Male,Homosexual,16-20,United States,Every day,0-4 hours,Singleplayer RPGs,"Skyrim, Rimworld, Dragon Age, City Skylines",Books(Non asian),Sometimes positive,3,Design that is relevant to a character's development or background; e.g. The character Morrigan in Dragon Age may have a sexualized design but it makes sense given her backstory. ,"Design that is purely fanservice and immersion-breaking in the context of the game; e.g. When a female character has overtly sexualized clothing/armor or body type that makes absolutely no sense (for example, non-protective ""armor"" that can often be found on female characters in a lot of games but not for their male counterparts)",4,Yes,"Yes, in any way they appear there",
05/01/2021 06:52:41,Male,Heterosexual,16-20,USA,Several times a week,0-4 hours,Strategy,"Dawn of War, Axis and Allies 2003, HOI4","Books(Non asian), Tabletop games(just the basic ones), Manga, Japanese(Or similar) Light Novels",Neutral,3,Character designs that make sense in universe.,"Designs that are too over the top for the universe, (ie bikini armour)",5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 06:57:15,Non-binary ,Bisexual,21-26,USA,Every day,0-4 hours,Adventure,Skyrim & Witcher 3,Tabletop RPGs(D&D and similar),Sometimes negative,4,,,3,Maybe,"Yes, in any way they appear there",
05/01/2021 07:16:03,Male,Heterosexual,21-26,usa,Several times a week,0-4 hours,Singleplayer RPGs,terarria,"Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Mostly negative,2,,,3,Maybe,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 07:17:31,Male,Homosexual,21-26,United States,Once- or twice a week,0-4 hours,Strategy,EU4,"Tabletop games(just the basic ones), Hiking, skiing, hockey, music",Sometimes positive,3,,"When other characters are stereotypically sexy or otherwise perpetuate stereotypes, especially negative ones",6,Yes,"Yes, in any way they appear there","It's about creating human-like characters. People are diverse. Sexual themes are fine as long as they are thought out well, not just as a ""sex sells"" tool."
05/01/2021 07:32:21,Male,Heterosexual,16-20,US,Every day,0-4 hours,Multiplayer RPGs,CSGO,"Films and TV series, Mountain Biking, Camping, Avation",Neutral,1,,,4,,"Yes, but build then as a character, not an LGBT add in","Everything has a place. If the story includes NSFW themes, then so be it, but it has to have a purpose either implicit or explicit."
05/01/2021 07:46:32,Male,Bisexual,16-20,United States ,Every day,0-4 hours,Action,Fallout new vegas ,Films and TV series,Absolutely positive,6,,Only sexualizing one gender,6,,"Yes, in any way they appear there",
05/01/2021 08:02:49,Male,Heterosexual,21-26,US,Several times a week,0-4 hours,Action,"Halo, Bioshock, Fallout, Sports games","Tabletop games(just the basic ones), Films and TV series",Mostly positive,2,"When a character is supposed to be attractive and they look it in the game, it provides a sense of immersion and base in reality. It just makes more sense.","When women characters are written to ONLY be sexual because that's just lazy writing. If they have one overly sexualized then whatever, it could work as a character and fit in the narrative. But sometimes, it's just lazy and stupid to be a part of.",6,Yes,"As long as it's not RETCON, where they make a character LGBT who previously weren't. Just make new characters and develop them properly.",
05/01/2021 08:19:57,Male,Heterosexual,16-20,United States,Every day,5-8 hours,Strategy,"Minecraft, Deep Rock Galactic",,Mostly negative,3,,,3,Yes,"No, but can ignore",
05/01/2021 09:20:27,Male,Heterosexual,21-26,United States,Every day,0-4 hours,Singleplayer RPGs,"Skyrim, Animal Crossing New Horizons","Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Music (both playing, and listening)",Neutral,4,Being unique,Being overly cliché,4,Maybe,"Yes, in any way they appear there",
05/01/2021 09:35:13,Male,Heterosexual,21-26,United Kingdom,Several times a week,0-4 hours,Action,Call of duty Cold War,Films and TV series,Neutral,6,,,5,,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 10:18:08,Male,Heterosexual,16-20,Russia,Every day,0-4 hours,Singleplayer RPGs,Genshin Impact,"Books(Non asian), Manga, Japanese(Or similar) Light Novels",Neutral,3,,,4,Yes,"Yes, in any way they appear there",
05/01/2021 10:25:05,Male,Heterosexual,16-20,United Kingdom,Several times a week,0-4 hours,Singleplayer RPGs,"Legend of Zelda: Breath of the Wild, GTA5","Books(Non asian), Films and TV series, Anime",Mostly positive,3,Subtlety,Overtly sexual costumes with massive breats for no reason,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
05/01/2021 11:01:58,Male,Bisexual,21-26,Brazil,Once- or twice a week,0-4 hours,Singleplayer RPGs,Mass effect,Films and TV series,Mostly positive,1,Variety,,6,Yes,"Yes, in any way they appear there",
05/01/2021 11:12:35,Male,Heterosexual,27-35,France,Several times a week,0-4 hours,Strategy,Crusader Kings 3,Sports,Mostly positive,6,"Quality, realism, fitting the theme",Very unrealistic portrayals of things (see also: early Lara Croft),6,,"Yes, if they aren't token characters and if exploring their sexuality makes sense (i.e. no suddenly gay Dumbledores 10 years after the fact, despite his sexuality having been irrelevant in all 7 books prior)","Sexual themes are great, sex is a big part of our society and the human condition in general. But if you commit to having them, go all the way and actually do something with them, don't add them just for the wokeness points."
05/01/2021 11:37:11,Male,Heterosexual,21-26,US,Several times a week,0-4 hours,Multiplayer RPGs,"Halo, need for speed: underground, overwatch","Books(Non asian), Films and TV series, Anime",Sometimes negative,3,,,4,Yes,"Yes, in any way they appear there",
05/01/2021 11:37:39,Male,Heterosexual,More than 35,Germany,Several times a week,0-4 hours,Action,"Celeste, Doom, Super Mario Galaxy, Firewatch, Soma, Steredenn, Horizon Chase","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Neutral,2,I like pretty faces and generally attractive (but not exaggerated) bodies.,"exaggerated boobs, unrealisticly skimpy outfits in supposedly serious games (I don't mind it in Tekken etc)",5,"Maybe, but if it's nonsense like Quiet's outfit in MGS5 I'll stop taking the game seriously.","Yes, in any way they appear there","I like playing games with attractive people, but don't oversexualise them."
05/01/2021 11:43:50,Female,Heterosexual,27-35,USA,Several times a week,0-4 hours,Singleplayer RPGs,Skyrim,"Books(Non asian), Films and TV series",Neutral,2,,"Sexualized female characters, non sexualized male characters",4,It is too overdone to be ok with context,"Yes, in any way they appear there",
05/01/2021 11:45:41,Male,Heterosexual,Younger than 16,N/A,Several times a week,0-4 hours,Simulators,"Democracy 4, Cities: Skylines","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Anime, Japanese(Or similar) Light Novels",Neutral,3,,,5,Yes,"Yes, in any way they appear there",
05/01/2021 13:05:50,Male,Heterosexual,27-35,United Kingdom ,Every day,0-4 hours,Singleplayer RPGs,Witcher 3,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Sport",Mostly positive,5,,,6,,"Yes, in any way they appear there",
